Movie Names,Ratings
Mademoiselle,8.1
Into the Wild,8.1
Mon père et mon fils,8.2
La mélodie du bonheur,8.1
Jeu dangereux,8.1
Les raisins de la colère,8.1
La bataille d'Alger,8.1
Un jour sans fin,8.0
Amours chiennes,8.1
Rebecca,8.1
Le Géant de fer,8.1
Luke la main froide,8.1
La couleur des sentiments,8.1
New York - Miami,8.1
Aladdin,8.0
Danse avec les loups,8.0
Gangs of Wasseypur,8.2
